public_data_source,public_field,simulated_feature,mapping_logic
NSFC / kd.nsfc.cn,"approval_number, title, approval_year","project_id, discipline",批准号与年度可作为项目唯一标识与时间上下文；NSFC公开项目列表提供真实立项分布，用于证据可追溯性验证。
NSFC / LetPub,"application_code (三级学科), project_type (面上/青年/重点等), keywords","discipline, novelty_score, frontier_score",申请代码与项目类型映射学科与创新/前沿特征；关键词数量可代理研究热点匹配度。
NSFC / kd.nsfc.cn,"abstract, conclusion_abstract, start_date, end_date","data_availability, ethics_compliance, project_risk",摘要与结题摘要反映研究内容完整性与可追溯性；执行时间可推断项目风险与可行性。
NSFC / MedSci,"participant_count, url","team_size, platform_support",参与人数与详情页链接支持团队规模与平台支撑的现实参照。
NSFC / kd.nsfc.cn,"funding (万元), funding_level (低/中/高)","budget_reasonableness, project_risk, expected_impact",资助金额与档位直接映射经费合理性与任务风险；高经费项目往往对应更高预期影响力与风险。
NSFC / LetPub,"stat_year, funding_category","prior_grants, funded",年度与类别统计可校准既往项目数与获资助概率的边际分布。
NSFC / kd.nsfc.cn,"unit (依托单位), province, institution_type (985/211/中科院等)","institution_tier, overseas_experience",单位全称与类型映射机构层次；省份与海外合作可代理海外经历与声誉。
NSFC / LetPub,"leader (负责人), prior_grants_count (历史NSFC数)","prior_grants, h_index, research_years",负责人历史项目数与学术产出代理既往项目数、H-index与研究年限。
NSFC / nsfc package,"institution_tier (顶尖/一流/普通, 衍生)","institution_tier, age_group",单位层级与年龄阶段分布可用于偏差审计与声誉特征校准。
OpenAlex Works,"cited_by_count, fwci, citation_percentile","citations_5y, expected_impact",引用量、领域加权引用影响和引用分位数可作为科研影响力的现实代理变量。
NSFC / LetPub,"journal_papers, patents, awards","papers_5y, h_index, expected_impact",期刊论文、专利、奖励数量映射近五年产出与影响力；支持证据可追溯性。
OpenAlex Works,"award_count, funder_count, funders","prior_grants, funded",资助奖项和资助方信息可作为已获资助背景的现实参照。
NSFC / kd.nsfc.cn,conclusion_abstract (结题成果描述),"ethics_compliance, data_availability",结题摘要中成果描述可验证伦理合规与数据可得性。
OpenAlex Works,"authorship_count, institution_count, country_count","team_size, collaboration_strength, interdisciplinarity",作者数量、机构数量和国家数量反映团队规模与合作网络强度。
NSFC / LetPub,interdisciplinarity_score (衍生: 领域多样性),"interdisciplinarity, frontier_score",跨学科指数与前沿度可从多主题/多机构项目中提取。
OpenAlex Works,"primary_topic, topic_field, topic_domain","discipline, frontier_score, interdisciplinarity",主题、领域和跨领域主题可支撑学科类别、前沿度和跨学科程度的构造。
NSFC / MedSci,"keywords (多关键词), topic overlap","novelty_score, methodology_score",关键词多样性与主题重叠可代理创新性与方法成熟度。
OpenAlex Works,"is_oa, doi, referenced_works_count, related_works_count","data_availability, methodology_score, feasibility_score",开放获取、DOI、参考文献与关联工作数量直接支持证据可追溯性与方法/可行性。
NSFC / nstrs.cn (公开结题报告),"report_url, has_fulltext (部分)","data_availability, ethics_compliance",公开结题报告全文可得性强化证据可追溯性与组织规范清晰度。
OpenAlex Works,"has_abstract filter, open_access.is_oa",data_availability,开放获取和摘要可得性反映科研成果或项目材料的信息可获得程度。
NSFC / kd.nsfc.cn,"funding_category (青年/面上/重点/地区), discipline_code三级","discipline, project_risk, institution_tier",项目类别与三级学科代码可用于分层分析信任维度在不同资助类型中的差异。
NSFC / LetPub,"stat_year range 1997-2026, province distribution","research_years, overseas_experience, age_group",年度跨度与省份分布校准研究年限、海外经历与年龄阶段的真实边际。
NSFC + OpenAlex join,leader + cited_by_count aggregate (per PI),"prior_grants, citations_5y, h_index",负责人聚合引用与项目数可同时映射既往项目与学术声誉特征。
NSFC / MedSci,results (论文数/专利/奖励 per project),"expected_impact, papers_5y",成果统计直接支持预期影响力与产出特征的现实校准。
OpenAlex Works,"publication_year, fwci > 1.0 indicator","frontier_score, expected_impact",发表年份与高FWCI指示符可代理前沿度与高影响力项目特征。
NSFC / kd.nsfc.cn,"ethics_compliance flag (from abstract keywords), data_availability (supplement link)","ethics_compliance, data_availability",摘要中伦理关键词与补充材料链接可直接映射合规性与数据可得性。
NSFC + OpenAlex,"funder_count, award_count, collaboration international","collaboration_strength, funded, interdisciplinarity",多资助方、奖项与国际合作数量增强合作网络与跨学科特征。
NSFC / LetPub,"execution_days (end-start), report_delay","project_risk, feasibility_score",执行时长与报告延迟可作为任务风险与可行性的代理指标。
NSFC / nstrs.cn,"conclusion_score (if available), achievement_count","expected_impact, ethics_compliance",结题评分与成果数量支持高责任场景下的信任校准证据。
NSFC / kd.nsfc.cn + OpenAlex,combined: approval_year + cited_by_count + institution_tier,"research_years, citations_5y, institution_tier, prior_grants",多源联合映射可同时校准时间、影响力、机构与历史项目四个维度，提升外部效度。
